id id_match mass_original mass_match distance_ckpc/h shared_fraction
57 54 4.990087509155273 4.717397212982178 20.950796127319336 0.0911
57 26509 4.990087509155273 2.7693045139312744 801.105224609375 0.0057
57 574 4.990087509155273 0.20713812112808228 1044.6148681640625 0.0041
57 602 4.990087509155273 0.1891949474811554 1177.165283203125 0.0037
57 0 4.990087509155273 14055.1455078125 1093.6424560546875 0.2669
117312 3486 2.069129705429077 2.4790902137756348 31.79369354248047 0.0534
117312 3493 2.069129705429077 1.9545576572418213 891.9778442382812 0.0413
117312 3478 2.069129705429077 3.2070837020874023 950.3799438476562 0.0674
117312 3477 2.069129705429077 3.347212076187134 1149.092529296875 0.0271
117312 3430 2.069129705429077 3208.470458984375 580.1619873046875 0.2490
153 136 1.5022501945495605 1.3555822372436523 67.36243438720703 0.1190
153 949 1.5022501945495605 0.10229197144508362 731.2785034179688 0.0090
153 968 1.5022501945495605 0.10032481700181961 750.6267700195312 0.0088
153 1083 1.5022501945495605 0.08655474334955215 1206.3221435546875 0.0062
153 0 1.5022501945495605 14055.1455078125 783.8583374023438 0.4570
117282 3436 5.274940013885498 37.52705383300781 242.64002990722656 0.0002
117282 3439 5.274940013885498 23.4790096282959 676.936767578125 0.0002
117282 19746 5.274940013885498 18.75766944885254 1357.5084228515625 0.0002
117282 3437 5.274940013885498 24.808469772338867 1414.6029052734375 0.0002
117282 3430 5.274940013885498 3208.470458984375 1165.126953125 0.0082
31 4 4.025313377380371 32.8795166015625 907.4223022460938 0.0029
31 24 4.025313377380371 10.45053482055664 1005.5427856445312 0.0010
31 5 4.025313377380371 24.71455192565918 1217.0303955078125 0.0021
31 21452 4.025313377380371 9.105427742004395 1660.9154052734375 0.0009
31 0 4.025313377380371 14055.1455078125 309.32257080078125 0.4475
505586 15183 96.2841567993164 102.8506088256836 33.28129577636719 0.0302
505586 15893 96.2841567993164 116.60169219970703 682.2161254882812 0.0176
505586 1842 96.2841567993164 39.00200271606445 1634.6639404296875 0.0047
505586 1847 96.2841567993164 11.304579734802246 1975.3890380859375 0.0031
505586 16740 96.2841567993164 55.51804733276367 1984.84228515625 0.0160
96811 2844 2.094212770462036 1.8126908540725708 117.03199005126953 0.0366
96811 3020 2.094212770462036 0.18687956035137177 206.3616180419922 0.0038
96811 2845 2.094212770462036 1.6817044019699097 1187.1195068359375 0.0337
96811 72974 2.094212770462036 0.09639051556587219 1959.015869140625 0.0019
96811 2793 2.094212770462036 4719.396484375 966.251220703125 0.4834
43 2 5.324019432067871 106.65513610839844 1009.4060668945312 0.0025
43 3 5.324019432067871 28.41268539428711 1070.64013671875 0.0007
43 4 5.324019432067871 32.8795166015625 1394.6614990234375 0.0008
43 1 5.324019432067871 146.47567749023438 1771.3446044921875 0.0037
43 0 5.324019432067871 14055.1455078125 949.022705078125 0.2201
63923 1840 1.7561280727386475 38.37779235839844 891.7682495117188 0.0147
63923 17592 1.7561280727386475 2.2547523975372314 1203.279296875 0.0097
