id id_match mass_original mass_match distance_ckpc/h
117251 3431 365.970703125 324.0602111816406 32.162353515625
117251 3430 365.970703125 3208.470458984375 845.8616333007812
117251 3432 365.970703125 83.47866821289062 1200.50390625
117251 11657 365.970703125 329.0859680175781 2933.928466796875
117251 15548 365.970703125 134.8392333984375 4121.82470703125
117254 3433 69.15705108642578 65.4676284790039 8.563726425170898
117254 3453 69.15705108642578 7.962318420410156 98.83889770507812
117254 3430 69.15705108642578 3208.470458984375 640.5020751953125
117254 23473 69.15705108642578 5.857839107513428 1443.83740234375
117254 18357 69.15705108642578 47.1408576965332 2592.626708984375
117255 3435 72.74584197998047 52.86943054199219 21.696956634521484
117255 3442 72.74584197998047 15.811898231506348 123.75360107421875
117255 3431 72.74584197998047 324.0602111816406 851.0479125976562
117255 3430 72.74584197998047 3208.470458984375 884.5697631835938
117255 15548 72.74584197998047 134.8392333984375 3524.805419921875
117256 3430 28.09479522705078 3208.470458984375 275.7391357421875
117256 3431 28.09479522705078 324.0602111816406 1035.09228515625
117256 13346 28.09479522705078 185.53607177734375 1121.4832763671875
117256 12893 28.09479522705078 199.8226776123047 3841.87646484375
117256 11657 28.09479522705078 329.0859680175781 3937.338623046875
117257 3436 35.623722076416016 37.52705383300781 37.79806137084961
117257 3458 35.623722076416016 6.544082164764404 157.87005615234375
117257 3430 35.623722076416016 3208.470458984375 989.4522705078125
117257 19746 35.623722076416016 18.75766944885254 1535.265380859375
117257 22205 35.623722076416016 10.31397533416748 3471.324951171875
117258 3432 26.914674758911133 83.47866821289062 437.6359558105469
117258 3430 26.914674758911133 3208.470458984375 744.3333740234375
117258 3434 26.914674758911133 65.67039489746094 923.7003173828125
117258 17488 26.914674758911133 48.9846305847168 1390.148681640625
117258 17739 26.914674758911133 46.347633361816406 3490.7978515625
117260 3438 20.640560150146484 24.836105346679688 12.634193420410156
117260 3451 20.640560150146484 10.337080001831055 292.3559875488281
117260 3430 20.640560150146484 3208.470458984375 323.8226318359375
117260 21582 20.640560150146484 11.558307647705078 2389.19091796875
117260 17739 20.640560150146484 46.347633361816406 2887.045654296875
117263 3431 13.17788028717041 324.0602111816406 218.54689025878906
117263 3430 13.17788028717041 3208.470458984375 942.7383422851562
117263 11657 13.17788028717041 329.0859680175781 2846.392578125
117263 15548 13.17788028717041 134.8392333984375 4062.146240234375
117263 4959 13.17788028717041 162.26551818847656 4996.7587890625
117264 3443 14.759794235229492 16.819040298461914 86.61090850830078
117264 3456 14.759794235229492 8.025056838989258 361.4708557128906
117264 3430 14.759794235229492 3208.470458984375 377.3853759765625
117264 11657 14.759794235229492 329.0859680175781 3409.117431640625
117264 11658 14.759794235229492 23.457252502441406 3474.673095703125
117265 3452 12.037808418273926 7.585355281829834 11.66400146484375
117265 3432 12.037808418273926 83.47866821289062 72.90913391113281
