id id_match mass_original mass_match distance_ckpc/h shared_fraction
117251 3431 365.970703125 324.0602111816406 32.162353515625 0.0724
117251 3435 365.970703125 52.86943054199219 849.8848266601562 0.0114
117251 3430 365.970703125 3208.470458984375 845.8616333007812 0.1588
117251 3438 365.970703125 24.836105346679688 1064.44677734375 0.0050
117251 3432 365.970703125 83.47866821289062 1200.50390625 0.0147
117254 3433 69.15705108642578 65.4676284790039 8.563726425170898 0.1027
117254 3453 69.15705108642578 7.962318420410156 98.83889770507812 0.0125
117254 3466 69.15705108642578 4.780333042144775 388.8411865234375 0.0082
117254 23473 69.15705108642578 5.857839107513428 1443.83740234375 0.0085
117254 3430 69.15705108642578 3208.470458984375 640.5020751953125 0.3936
117255 3435 72.74584197998047 52.86943054199219 21.696956634521484 0.0699
117255 3442 72.74584197998047 15.811898231506348 123.75360107421875 0.0200
117255 3431 72.74584197998047 324.0602111816406 851.0479125976562 0.1751
117255 19857 72.74584197998047 20.372995376586914 1219.1181640625 0.0168
117255 3430 72.74584197998047 3208.470458984375 884.5697631835938 0.0966
117256 3434 28.09479522705078 65.67039489746094 777.6536865234375 0.0037
117256 3432 28.09479522705078 83.47866821289062 813.5582885742188 0.0046
117256 3431 28.09479522705078 324.0602111816406 1035.09228515625 0.0183
117256 13346 28.09479522705078 185.53607177734375 1121.4832763671875 0.0101
117256 3430 28.09479522705078 3208.470458984375 275.7391357421875 0.1561
117257 3436 35.623722076416016 37.52705383300781 37.79806137084961 0.1064
117257 3458 35.623722076416016 6.544082164764404 157.87005615234375 0.0150
117257 3462 35.623722076416016 4.771041393280029 226.39605712890625 0.0139
117257 19746 35.623722076416016 18.75766944885254 1535.265380859375 0.0420
117257 3430 35.623722076416016 3208.470458984375 989.4522705078125 0.3092
117258 3432 26.914674758911133 83.47866821289062 437.6359558105469 0.0143
117258 3434 26.914674758911133 65.67039489746094 923.7003173828125 0.0090
117258 17488 26.914674758911133 48.9846305847168 1390.148681640625 0.0079
117258 13346 26.914674758911133 185.53607177734375 1692.619140625 0.0048
117258 3430 26.914674758911133 3208.470458984375 744.3333740234375 0.2431
117260 3438 20.640560150146484 24.836105346679688 12.634193420410156 0.0673
117260 3451 20.640560150146484 10.337080001831055 292.3559875488281 0.0297
117260 3449 20.640560150146484 11.264017105102539 630.024169921875 0.0216
117260 27434 20.640560150146484 2.9377188682556152 910.2591552734375 0.0091
117260 3430 20.640560150146484 3208.470458984375 323.8226318359375 0.2708
117263 3431 13.17788028717041 324.0602111816406 218.54689025878906 0.1026
117263 3445 13.17788028717041 12.432129859924316 699.26611328125 0.0057
117263 3435 13.17788028717041 52.86943054199219 814.1820068359375 0.0151
117263 16268 13.17788028717041 56.48295974731445 1278.482177734375 0.0208
117263 3430 13.17788028717041 3208.470458984375 942.7383422851562 0.3016
117264 3443 14.759794235229492 16.819040298461914 86.61090850830078 0.1112
117264 3472 14.759794235229492 3.2488315105438232 120.86865997314453 0.0210
117264 3456 14.759794235229492 8.025056838989258 361.4708557128906 0.0498
117264 27934 14.759794235229492 2.9453978538513184 706.7561645507812 0.0171
117264 3430 14.759794235229492 3208.470458984375 377.3853759765625 0.2801
117265 3452 12.037808418273926 7.585355281829834 11.66400146484375 0.0823
117265 3432 12.037808418273926 83.47866821289062 72.90913391113281 0.0211
117265 3459 12.037808418273926 5.923309326171875 546.56298828125 0.0308
117265 3477 12.037808418273926 3.347212076187134 710.2957763671875 0.0399
117265 3430 12.037808418273926 3208.470458984375 615.60400390625 0.6087
117266 3435 7.024279594421387 52.86943054199219 48.12248611450195 0.1473
117266 3442 7.024279594421387 15.811898231506348 123.75799560546875 0.4233
117266 3547 7.024279594421387 0.6867581605911255 207.0742950439453 0.0170
117266 19857 7.024279594421387 20.372995376586914 1216.666259765625 0.0178
117266 3430 7.024279594421387 3208.470458984375 907.311767578125 0.2117
117267 3448 13.038471221923828 12.285967826843262 35.67877960205078 0.1019
117267 3454 13.038471221923828 9.058992385864258 366.8538513183594 0.0770
117267 3491 13.038471221923828 1.926109790802002 520.6982421875 0.0167
117267 3439 13.038471221923828 23.4790096282959 577.8572998046875 0.0717
117267 3430 13.038471221923828 3208.470458984375 763.8374633789062 0.3842
